id,ad,porsiyon_adi,gram,kalori,protein,karb,yag
findikli-cikolata,Fındıklı Çikolata,1 kalıp,40,230,4.0,22.0,14.0
gul-lokumu,Gül Lokumu,3 adet,45,140,0.3,35.0,0.1
findikli-lokum,Fındıklı Lokum,3 adet,50,175,1.5,32.0,4.5
cikolatali-gofret,Çikolatalı Gofret,1 adet,45,235,3.0,28.0,12.0
findik-kremasi,Fındık Kreması,1 yemek kaşığı,20,110,1.5,12.0,6.5
misir-patlagi,Mısır Patlağı,1 kase,30,130,3.5,22.0,3.5
cubuk-kraker,Çubuk Kraker,1 paket,40,180,4.0,28.0,5.5
findikli-gofret,Fındıklı Gofret,1 adet,45,240,3.5,26.0,13.5
sekerli-badem-draje,Şekerli Badem Draje,1 avuç,40,200,4.0,24.0,10.0
karamel-sekeri,Karamel Şekeri,4 adet,30,130,0.5,28.0,2.0
jelibon,Jelibon,1 avuç,40,140,1.5,33.0,0.1
marshmallow,Marshmallow,4 adet,30,100,0.8,24.0,0.0
findikli-baton,Fındıklı Baton,1 adet,50,255,4.5,28.0,13.0
enerji-bar-muzlu,Muzlu Enerji Bar,1 adet,45,180,4.0,30.0,5.0
kuru-cilek,Kuru Çilek,1 avuç,30,95,0.6,23.0,0.3
kaju-paketi,Kaju Paketi,1 paket,35,200,6.0,10.0,16.0
findik-paketi,Fındık Paketi,1 paket,30,190,4.5,5.0,18.0
misir-bar,Mısır Bar,1 adet,40,160,2.0,28.0,4.5
zeytinyagi,Zeytinyağı,1 yemek kaşığı,15,135,0.0,0.0,15.0
aycicek-yagi,Ayçiçek Yağı,1 yemek kaşığı,15,135,0.0,0.0,15.0
tereyagi-kasik,Tereyağı Kaşık,1 yemek kaşığı,14,100,0.1,0.1,11.5
margarin,Margarin,1 yemek kaşığı,14,100,0.1,0.1,11.0
mayonez,Mayonez,1 yemek kaşığı,15,100,0.2,0.5,11.0
ketcap,Ketçap,1 yemek kaşığı,17,20,0.2,5.0,0.0
hardal,Hardal,1 yemek kaşığı,15,15,0.8,1.5,0.7
ranch-sos,Ranch Sos,1 yemek kaşığı,15,70,0.3,1.5,7.0
sezar-sos,Sezar Sos,1 yemek kaşığı,15,75,0.5,1.0,7.5
soya-sosu,Soya Sosu,1 yemek kaşığı,15,10,1.0,1.0,0.0
domates-salcasi,Domates Salçası,1 yemek kaşığı,20,25,1.2,5.0,0.2
biber-salcasi,Biber Salçası,1 yemek kaşığı,20,28,1.0,5.5,0.3
sirke,Sirke,1 yemek kaşığı,15,3,0.0,0.5,0.0
nar-eksisi,Nar Ekşisi,1 yemek kaşığı,20,50,0.3,12.0,0.0
tahin-sos,Tahin Sos,1 yemek kaşığı,15,90,2.5,3.0,8.0
bal-kavanoz,Bal Kavanoz,1 yemek kaşığı,20,60,0.1,16.0,0.0
uzum-pekmezi,Üzüm Pekmezi,1 yemek kaşığı,20,58,0.5,14.0,0.0
kayisi-receli,Kayısı Reçeli,1 yemek kaşığı,20,52,0.1,13.0,0.0
visne-receli,Vişne Reçeli,1 yemek kaşığı,20,54,0.1,13.5,0.0
cilek-receli,Çilek Reçeli,1 yemek kaşığı,20,52,0.1,13.0,0.0
fistik-ezmesi,Fıstık Ezmesi,1 yemek kaşığı,16,95,4.0,3.5,8.0
krem-peynir,Krem Peynir,1 yemek kaşığı,20,70,1.5,1.0,6.5
barbeku-sos,Barbekü Sos,1 yemek kaşığı,17,30,0.2,7.0,0.1
aci-sos,Acı Sos,1 yemek kaşığı,15,8,0.3,1.5,0.1
pesto-sos,Pesto Sos,1 yemek kaşığı,15,80,1.5,1.0,8.0
kola-normal,Kola Normal,1 bardak,250,105,0.0,27.0,0.0
kola-light,Kola Light,1 kutu,330,1,0.0,0.3,0.0
gazoz,Gazoz,1 kutu,330,140,0.0,35.0,0.0
limonlu-soda,Limonlu Soda,1 şişe,250,5,0.0,1.0,0.0
elma-suyu,Elma Suyu,1 bardak,200,95,0.2,23.0,0.2
seftali-suyu,Şeftali Suyu,1 bardak,200,100,0.5,24.0,0.1
karisik-meyve-suyu,Karışık Meyve Suyu,1 bardak,200,105,0.5,25.0,0.1
ice-tea-seftali,Ice Tea Şeftali,1 kutu,330,110,0.0,27.0,0.0
ice-tea-limon,Ice Tea Limon,1 kutu,330,100,0.0,25.0,0.0
ayran-buyuk,Ayran Büyük,1 bardak,300,120,7.5,10.5,5.0
kefir-icecek,Kefir İçecek,1 bardak,250,135,8.5,11.0,6.0
milkshake-cikolatali,Çikolatalı Milkshake,1 bardak,300,360,9.0,52.0,12.0
smoothie-meyveli,Meyveli Smoothie,1 bardak,300,220,4.0,44.0,3.0
smoothie-yesil,Yeşil Smoothie,1 bardak,300,160,3.5,32.0,2.0
ihlamur-cayi,Ihlamur Çayı,1 bardak,200,3,0.0,0.6,0.0
nane-limon-cayi,Nane Limon Çayı,1 bardak,200,5,0.0,1.2,0.0
adacayi,Adaçayı,1 bardak,200,2,0.0,0.4,0.0
kusburnu-cayi,Kuşburnu Çayı,1 bardak,200,6,0.0,1.4,0.0
yesil-cay,Yeşil Çay,1 bardak,200,2,0.0,0.3,0.0
protein-shake,Protein Shake,1 bardak,300,180,25.0,12.0,3.0
sicak-cikolata-buyuk,Sıcak Çikolata Büyük,1 bardak,300,270,8.0,38.0,9.0
bira,Bira,1 şişe,330,145,1.5,11.0,0.0
sarap-kirmizi,Kırmızı Şarap,1 kadeh,150,125,0.1,4.0,0.0
sarap-beyaz,Beyaz Şarap,1 kadeh,150,120,0.1,3.8,0.0
raki,Rakı,1 kadeh,60,140,0.0,0.0,0.0
viski,Viski,1 kadeh,45,105,0.0,0.0,0.0
votka,Votka,1 kadeh,45,100,0.0,0.0,0.0
enerji-icecegi-sekersiz,Enerji İçeceği Şekersiz,1 kutu,250,10,0.0,2.0,0.0
soguk-kahve,Soğuk Kahve,1 bardak,300,140,5.0,18.0,5.0
limonata-taze,Taze Limonata,1 bardak,250,120,0.4,30.0,0.1
visneli-icecek,Vişneli İçecek,1 bardak,200,115,0.5,28.0,0.1
cig-kofte,Çiğ Köfte,1 porsiyon,150,220,6.0,44.0,3.0
mumbar-dolmasi,Mumbar Dolması,1 porsiyon,200,380,16.0,32.0,20.0
kokorec-porsiyon,Kokoreç Porsiyon,1 porsiyon,150,420,22.0,20.0,28.0
midye-dolma-porsiyon,Midye Dolma Porsiyon,6 adet,180,260,8.0,38.0,8.0
midye-tava-porsiyon,Midye Tava Porsiyon,12 adet,180,400,16.0,38.0,20.0
hamsi-bugulama,Hamsi Buğulama,1 porsiyon,200,280,26.0,6.0,17.0
karadeniz-pidesi,Karadeniz Pidesi,1 adet,300,620,26.0,68.0,26.0
kuymak,Kuymak,1 porsiyon,200,480,14.0,24.0,36.0
mihlama,Mıhlama,1 porsiyon,200,470,14.0,22.0,36.0
eksili-kofte,Ekşili Köfte,1 porsiyon,300,320,18.0,30.0,14.0
anali-kizli,Analı Kızlı,1 porsiyon,300,340,16.0,40.0,12.0
mercimek-koftesi,Mercimek Köftesi,4 adet,150,220,7.0,38.0,4.5
keskek,Keşkek,1 porsiyon,300,420,24.0,50.0,12.0
cilbir,Çılbır,1 porsiyon,200,290,15.0,6.0,22.0
su-boregi-porsiyon,Su Böreği Porsiyon,1 porsiyon,200,480,16.0,50.0,24.0
kol-boregi,Kol Böreği,1 dilim,150,370,11.0,38.0,19.0
gozleme-patatesli,Gözleme Patatesli,1 adet,200,400,10.0,56.0,15.0
gozleme-ispanakli,Gözleme Ispanaklı,1 adet,200,380,11.0,52.0,14.0
katmer,Katmer,1 porsiyon,150,520,10.0,48.0,32.0
cag-kebabi,Cağ Kebabı,1 şiş,120,320,26.0,2.0,23.0
beyti-kebap,Beyti Kebap,1 porsiyon,300,620,32.0,42.0,36.0
iskender,İskender,1 porsiyon,350,750,34.0,50.0,44.0
testi-kebabi,Testi Kebabı,1 porsiyon,350,540,34.0,26.0,34.0
cop-sis,Çöp Şiş,1 porsiyon,200,420,32.0,4.0,30.0
balik-ekmek,Balık Ekmek,1 adet,250,450,24.0,48.0,18.0
kokorec-durum,Kokoreç Dürüm,1 adet,250,540,24.0,48.0,28.0
manti-kayseri,Kayseri Mantısı,1 porsiyon,250,440,17.0,56.0,16.0
etli-ekmek,Etli Ekmek,1 porsiyon,250,560,26.0,58.0,24.0
cig-borek,Çiğ Börek,1 adet,120,300,10.0,28.0,17.0
perde-pilavi,Perde Pilavı,1 porsiyon,300,520,18.0,62.0,22.0
bici-bici,Bici Bici,1 kase,150,140,1.0,34.0,0.5
antep-lahmacun,Antep Lahmacun,1 adet,160,320,14.0,42.0,10.0
soguk-kofte,Soğuk Köfte,4 adet,150,300,16.0,20.0,17.0
tavuk-sinitzel,Tavuk Şinitzel,1 porsiyon,200,420,32.0,28.0,20.0
trabzon-hurmasi,Trabzon Hurması,1 adet,150,100,0.8,25.0,0.3
murdum-erigi,Mürdüm Eriği,4 adet,150,68,1.0,16.0,0.3
bamya,Bamya,1 porsiyon,100,33,2.0,7.0,0.2
enginar-cig,Enginar,1 adet,150,70,3.5,15.0,0.2
bruksel-lahanasi,Brüksel Lahanası,1 porsiyon,100,43,3.4,9.0,0.3
karnabahar-cig,Karnabahar Çiğ,1 porsiyon,100,25,2.0,5.0,0.1
brokoli-cig,Brokoli Çiğ,1 porsiyon,100,34,2.8,7.0,0.4
kuskonmaz,Kuşkonmaz,5 adet,100,20,2.2,4.0,0.1
mantar-cig,Mantar Çiğ,1 porsiyon,100,22,3.0,3.5,0.3
kabak-cig,Kabak Çiğ,1 adet,150,25,1.8,5.0,0.3
patlican-cig,Patlıcan Çiğ,1 adet,150,37,1.4,9.0,0.2
pancar,Pancar,1 porsiyon,100,43,1.6,10.0,0.2
salgam-sebze,Şalgam,1 adet,100,28,0.9,6.0,0.1
taze-sogan,Taze Soğan,1 demet,50,16,0.9,3.5,0.1
dereotu,Dereotu,1 demet,30,13,1.0,2.0,0.3
nane-taze,Nane,1 demet,30,21,1.0,4.5,0.3
semizotu-cig,Semizotu Çiğ,1 porsiyon,100,16,1.3,3.4,0.2
kereviz-sapi,Kereviz Sapı,2 adet,80,13,0.6,3.0,0.1
lahana-cig,Lahana Çiğ,1 porsiyon,100,25,1.3,5.8,0.1
ispanak-cig,Ispanak Çiğ,1 porsiyon,100,23,2.9,3.6,0.4
kirmizi-biber-cig,Kırmızı Biber Çiğ,1 adet,100,31,1.0,6.0,0.3
salam,Salam,3 dilim,40,120,7.0,1.0,10.0
sosis,Sosis,2 adet,80,220,10.0,2.0,19.0
jambon,Jambon,3 dilim,40,60,9.0,1.0,2.5
dil-peyniri,Dil Peyniri,1 porsiyon,30,95,7.0,1.0,7.0
orgu-peynir,Örgü Peynir,1 porsiyon,30,90,6.5,1.0,7.0
ezine-peyniri,Ezine Peyniri,1 dilim,30,85,5.5,1.0,6.5
otlu-peynir,Van Otlu Peyniri,1 dilim,30,80,5.5,1.0,6.0
mihalic-peyniri,Mihaliç Peyniri,1 dilim,30,105,7.5,0.8,8.0
lor-peyniri-kahvalti,Lor Peyniri Kahvaltı,1 porsiyon,50,70,8.0,2.0,3.5
suzme-bal,Süzme Bal,1 yemek kaşığı,20,62,0.1,16.5,0.0
kaymak-kahvalti,Kaymak Kahvaltı,1 yemek kaşığı,20,130,1.0,1.0,14.0
clotted-cream,Clotted Cream,1 yemek kaşığı,20,120,1.0,1.5,12.5
menemen-porsiyon,Menemen Porsiyon,1 porsiyon,250,240,12.0,12.0,16.0
omlet-peynirli,Peynirli Omlet Porsiyon,1 porsiyon,180,320,20.0,3.0,25.0
granola-yogurt,Granolalı Yoğurt,1 kase,200,280,10.0,38.0,9.0
muesli,Müsli,1 kase,50,190,5.0,34.0,4.0
kavurma-kahvalti,Kavurma Kahvaltı,1 porsiyon,100,280,20.0,2.0,22.0
sigara-boregi-peynirli,Sigara Böreği Peynirli,3 adet,90,250,7.0,24.0,14.0
pastirmali-yumurta,Pastırmalı Yumurta,1 porsiyon,150,290,20.0,2.0,22.0
buyuk-hamburger-menu,Büyük Hamburger Menü,1 menü,550,1100,38.0,110.0,52.0
tavuk-burger,Tavuk Burger,1 adet,240,520,26.0,46.0,26.0
fish-burger,Fish Burger,1 adet,220,480,22.0,44.0,24.0
nugget-6,Nugget 6lı,6 adet,110,290,15.0,18.0,17.0
nugget-9,Nugget 9lu,9 adet,165,430,22.0,27.0,26.0
baharatli-kanat,Baharatlı Kanat,6 adet,180,420,32.0,4.0,30.0
sogan-halkasi,Soğan Halkası,1 porsiyon,120,380,5.0,42.0,21.0
tavuk-wrap,Tavuk Wrap,1 adet,250,450,24.0,44.0,20.0
taco,Taco,1 adet,120,220,10.0,20.0,12.0
burrito,Burrito,1 adet,300,580,24.0,64.0,26.0
pizza-margarita,Pizza Margarita Dilimi,1 dilim,120,270,11.0,34.0,10.0
pizza-sucuklu,Pizza Sucuklu Dilimi,1 dilim,130,320,13.0,34.0,15.0
pizza-karisik,Pizza Karışık Dilimi,1 dilim,140,330,14.0,35.0,15.0
pizza-vejetaryen,Pizza Vejetaryen Dilimi,1 dilim,130,270,10.0,36.0,9.0
et-doner-porsiyon,Et Döner Porsiyon,1 porsiyon,200,420,26.0,4.0,34.0
tavuk-doner-porsiyon,Tavuk Döner Porsiyon,1 porsiyon,200,300,28.0,4.0,19.0
lahmacun-tekli,Lahmacun Tekli,1 adet,150,300,13.0,42.0,9.0
pide-kasarli,Kaşarlı Pide,1 porsiyon,250,560,22.0,62.0,24.0
pide-kiymali,Kıymalı Pide,1 porsiyon,250,580,24.0,60.0,26.0
pide-kusbasili,Kuşbaşılı Pide,1 porsiyon,250,600,28.0,58.0,28.0
pide-karisik,Karışık Pide,1 porsiyon,280,640,28.0,62.0,30.0
cig-kofte-porsiyon,Çiğ Köfte Porsiyon,1 porsiyon,150,220,6.0,44.0,3.0
kasarli-tost-fast,Kaşarlı Tost Fast,1 adet,150,380,16.0,36.0,19.0
sucuklu-sandvic,Sucuklu Sandviç,1 adet,200,480,20.0,44.0,26.0
tavuklu-sandvic,Tavuklu Sandviç,1 adet,220,420,24.0,42.0,18.0
simit-peynirli,Peynirli Simit,1 adet,140,380,13.0,54.0,12.0
hot-dog,Hot Dog,1 adet,150,330,12.0,32.0,17.0
kizarmis-tavuk-but,Kızarmış Tavuk But,1 adet,150,340,24.0,12.0,22.0
patates-kizartma-buyuk,Patates Kızartma Büyük,1 porsiyon,200,560,6.5,66.0,30.0
misir-tortilla,Mısır Tortilla Wrap,1 adet,250,470,20.0,50.0,20.0
falafel-durum,Falafel Dürüm,1 adet,280,520,16.0,64.0,22.0
profiterol-porsiyon,Profiterol Porsiyon,1 porsiyon,120,340,6.0,38.0,18.0
ekler,Ekler,1 adet,90,290,5.0,30.0,16.0
san-sebastian,San Sebastian Cheesecake,1 dilim,120,400,8.0,32.0,26.0
muffin,Muffin,1 adet,90,340,4.5,44.0,16.0
donut,Donut,1 adet,80,320,4.0,38.0,17.0
waffle,Waffle,1 adet,120,380,7.0,48.0,17.0
pankek,Pankek,3 adet,150,350,9.0,52.0,11.0
kurabiye,Kurabiye,3 adet,60,290,3.5,36.0,15.0
un-kurabiyesi,Un Kurabiyesi,3 adet,60,300,3.0,34.0,17.0
pogaca-peynirli,Peynirli Poğaça,1 adet,75,250,6.0,26.0,13.0
pogaca-zeytinli,Zeytinli Poğaça,1 adet,75,240,5.0,27.0,12.0
pogaca-patatesli,Patatesli Poğaça,1 adet,80,255,5.0,30.0,12.0
acma-firin,Açma Fırın,1 adet,80,260,6.0,32.0,12.0
kruvasan,Kruvasan,1 adet,60,240,5.0,26.0,13.0
kruvasan-cikolatali,Çikolatalı Kruvasan,1 adet,70,300,5.0,32.0,17.0
milfoy,Milföy,1 adet,70,290,4.0,28.0,18.0
dondurma-kulah,Külah Dondurma,1 adet,120,240,4.0,32.0,11.0
dondurma-kutu,Kutu Dondurma,1 kase,120,250,4.5,28.0,13.0
sorbet,Sorbet,1 kase,120,130,0.5,32.0,0.2
maras-dondurmasi,Maraş Dondurması,2 top,110,220,5.0,26.0,11.0
frambuazli-tart,Frambuazlı Tart,1 dilim,110,320,4.0,40.0,16.0
limonlu-tart,Limonlu Tart,1 dilim,110,340,4.5,42.0,17.0
elmali-turta,Elmalı Turta,1 dilim,120,310,3.5,44.0,14.0
findikli-kek,Fındıklı Kek,1 dilim,90,340,5.0,40.0,18.0
havuclu-kek,Havuçlu Kek,1 dilim,100,360,5.0,44.0,18.0
limonlu-kek,Limonlu Kek,1 dilim,90,300,4.0,42.0,13.0
mozaik-pasta,Mozaik Pasta,1 dilim,100,380,5.0,42.0,21.0
yas-pasta,Yaş Pasta,1 dilim,120,360,5.0,44.0,18.0
kadayif-porsiyon,Kadayıf Porsiyon,1 porsiyon,120,420,5.0,54.0,20.0
gozleme-kiymali-fast,Kıymalı Gözleme,1 adet,200,450,18.0,50.0,19.0
ohne-zucker-hafer-alpro,Ohne Zucker Hafer Alpro,100 g,100,40,0.2,5.8,1.5
coca-cola,Coca-Cola,100 g,100,42,0,10.6,0
original-wasa,Original Wasa,100 g,100,336,9,62,1.5
tomato-ketchup-heinz,Tomato Ketchup Heinz,100 g,100,102,1.2,23.2,0.1
sprite,Sprite,100 g,100,13,0,3.1,0
buono,buono,100 g,100,614,11.1,32.3,47.4
sesam-wasa,SESAM Wasa,100 g,100,403,13,63,9.5
milka-mmmax-oreo,Milka MMMAX Oreo,100 g,100,557,4.8,56,34
off-3800771011154,Сладки времена халва слънчогледова Захарни заводи,100 g,100,554,10,53,33
crackers-olive-et-thym,Crackers olive et thym,100 g,100,420,9.6,61.6,18
eti-lifalif-yulaf-ezmesi-500,Eti Lifalif yulaf ezmesi 500,100 g,100,360,14,53,7.5
peach-juice,Peach juice,100 g,100,51,0,12.6,0
sauce-crudites-benedicta,Sauce crudités Benedicta,100 g,100,287,0.9,4.4,29
eti-karam-gurme,Eti Karam Gurme,100 g,100,517,5.5,58,28
orange-cappy,Orange Cappy,100 g,100,48,0,11.5,0
domates-salcasi-altunsa,Domates Salçasi Altunsa,100 g,100,115,6,19.7,1.4
tadelle,Tadelle,100 g,100,571,9.3,53,35
eti-burcak-sutlu-cikolatali,Eti Burçak Sütlü Çikolatalı,100 g,100,491,7.3,61,23
cizi-ulker,Çizi Ülker,100 g,100,456,7.7,61,20
gikolatati,Gikolatati,100 g,100,532,6.3,60.5,29.4
suzme-peynir-dost,suzme peynir Dost,100 g,100,224,12,3.5,18
mood-biscolata,Mood Biscolata,100 g,100,527,5.7,59,29
caffe-latte-starbucks,Caffè Latte starbucks,100 g,100,72,2.8,8.9,2.6
sauce-crudites-nature-legere-benedicta,Sauce crudités nature légère Bénédicta,100 g,100,153,1,5.8,13.9
browni-eti,Browni Eti,100 g,100,441,6.2,57,24
dido-ulker,Dido Ülker,100 g,100,530,7.5,59,29
penne-rigate-cardella,Penne rigate Cardella,100 g,100,352,11.2,76.5,0.2
no-1-more-torku,no:1 more Torku,100 g,100,550,9.2,50.6,33.8
susse-finger-biskuvi,Süsse Finger bisküvi,100 g,100,457,6.9,69.6,15.9
lifalif-yulaf-ezmesi-eti,Lifalif yulaf ezmesi Eti,100 g,100,360,14,53,7.5
laviva-ulker,Laviva Ülker,100 g,100,540,7.1,54,32
fanta-portakal,Fanta Portakal,100 g,100,30,0,7.3,0
coca-900ml-coca-cola,Coca 900ml Coca-Cola,100 g,100,42,0,10.6,0
icim-sut-1-litre-laktozsuz,İçim süt 1 litre laktozsuz,100 g,100,44,3,4.7,1.5
fromage-frais-labne-pinar,Fromage frais Labne Pinar,100 g,100,194,4.5,3.5,18
dost-ayran,Dost ayran,100 g,100,35,2,2,2
bulghur-pilaff-legurme,Bulghur pilaff Legurme,100 g,100,154,4.6,26,3
sarelle-sagra,SARELLE SAGRA,100 g,100,542,5.7,56,32
haribo-jelly-beans,Haribo jelly beans,100 g,100,372,1.3,91.1,0.1
cikolatali-gofret-ulker,Cikolatali gofret Ülker,100 g,100,543,6.5,58,31
risovital-whole-grain-rice-riso-scotti,RisoVital Whole Grain Rice Riso Scotti,100 g,100,347,7,71.6,2.7
off-20709952,Сладко от зрели смокини Родна стряха,100 g,100,284,0.5,70,0.2
labne-sutaski,Labne Sutaski,100 g,100,198,4.5,4.5,18
schweppes-1-lt-mandalina,Schweppes 1 lt mandalina,100 g,100,16,0,4,0
beyaz-peynir-icim,Beyaz Peynir İçim,100 g,100,215,13,3.5,16.5
meyveli-sos-kent-boringer,Meyveli Sos Kent Boringer,100 g,100,259,0,64.5,0
sauce-poivre-benedicta,Sauce poivre Bénédicta,100 g,100,478,0.5,5.8,50.3
becel-tereyagi-keyfi-bitkisel-margarin-57-yagli,Becel Tereyağı Keyfi Bitkisel Margarin 57% yağlı,100 g,100,515,0.4,0.3,57
cokonat-ulker,Çokonat Ülker,100 g,100,560,6.8,56,34
melasse-de-grenade-gunseven,Mélasse de grenade GUNSEVEN,100 g,100,289,0,72.4,0
sauce-crudite-benedicta,Sauce crudité Bénédicta,100 g,100,287,0.9,4.4,29
kahvaltilik-sos-bol-bol,kahvaltılık sos bol bol,100 g,100,175,5.4,14.4,9.5
sutas-labne-400-www-sutas-com-tr,Sütaş labne 400 www.sutas.com.tr,100 g,100,203,4.4,6.5,18
cikolata-60-bitter-ulker,Çikolata 60% bitter Ülker,100 g,100,534,7.4,41,37
ulker-bol-sutlu-kare-cikolata,Ülker Bol Sütlü Kare Çikolata,100 g,100,534,8,57,30
indomie-hot-spicy-flavour,Indomie Hot & Spicy Flavour,100 g,100,478,10,61.3,21.3
lipton-ice-tea-peach,Lipton ice tea (peach),100 g,100,19,0,4.6,0
burcak-eti,Burcak Eti,100 g,100,450,6.2,65.8,16.9
sticks-eti,Sticks Eti,100 g,100,460,10,61,19
cokodamlali-pasta-biskuvi,Çokodamlalı pasta bisküvi,100 g,100,495,6,71.4,20.6
hanimeller-ulker-hanimeller,Hanımeller Ülker Hanımeller,100 g,100,488,5.9,65,23
ikram-ulker,İkram Ülker,100 g,100,481,7.3,64,21
klasik-lay-s,Klasik Lay's,100 g,100,548,5.9,51.4,34.5
lay-s-firindan-yogurt-mevsim-yesillikleri-lays,Lay's Fırından Yoğurt Mevsim Yeşillikleri Lays,100 g,100,450,5.4,67,17.2
tortilla-aly,Tortilla Aly,100 g,100,258,8,51,4.1
pop-kek-with-chocolate-eti,Pop-kek with chocolate Eti,100 g,100,434,5.5,57,20
sut-misir-superfresh,Süt Mısır Superfresh,100 g,100,61,1,9,2.5
kafeinsiz-turk-kahvesi-kahve-dunyasi,Kafeinsiz Türk Kahvesi Kahve Dünyası,100 g,100,321,11.3,15.3,11.4
big-babol-chupa-chups,big babol - Дъвки с плодов вкус Chupa Chups,100 g,100,33,0,1,1
rulokat-9kat-tat-ulker,Rulokat 9kat tat Ülker,100 g,100,521,3.9,67.3,26
hindi-fume-namet,Hindi Füme Namet,100 g,100,92,17,2,1.8
pismaniye-koska,Pismaniye Koska,100 g,100,443,1.5,85.7,10.2
hanimeller-ulker,Hanimeller Ülker,100 g,100,500,6.6,62,25
bim,Дюрюм чий кюфте Bim,100 g,100,229,6.2,33.7,4.8
dankek-bites-ulker,Dankek Bites ÜLKER,100 g,100,422,6.2,51,21
labne-kerem,Labne Kerem,100 g,100,198,4.5,4.5,18
findik-parcacikli-kakaolu-krema-turkiye-tarim-kr,FINDIK PARÇACIKLI KAKAOLU KREMA TÜRKİYE TARIM KREDİ KOOPERAT,100 g,100,601,9.8,57.1,42.8
cikolata-80-bitter-ulker,Cikolata %80 Bitter Ülker,100 g,100,552,12,24,41
dost-yogurt,Dost yoğurt,100 g,100,70,4,4.6,4
pinar-protein-kakaolu-sut,Pınar Protein Kakaolu Süt,100 g,100,49,5.2,6.5,0.3
saklikoy-ulker,Saklıköy Ülker,100 g,100,485,6.9,62,22
special-k-cereal-oats-honey-kellogg-s,Special k cereal oats & honey Kellogg's,100 g,100,357,7.1,85.7,2.4
biscuits-riches-en-vitamines,Biscuits riches en vitamines,100 g,100,468,6.6,69,18
hafif-sari-hardal-heinz,Hafif Sarı Hardal Heinz,100 g,100,120,5.6,9.4,5.2
hazir-noodle-indomie,Hazir noodle Indomie,100 g,100,455,10,64,18
ulker-cokokrem,Ülker Çokokrem,100 g,100,547,5.5,62,30
altinkilic-kefir-sade,Altınkılıç Kefir Sade,100 g,100,55,3,3.7,3
ulker-pistachio-white-chocolate,Ülker pistachio white chocolate,100 g,100,577,9.4,51,37
godiva-masterpieces-bitter-cikolata-tablet,Godiva Masterpieces Bitter Çikolata Tablet,100 g,100,557,6.2,47,37
tutku-eti,Tutku ETi,100 g,100,518,4.9,61,28
ulker-kakaolu-biskuvi,Ülker Kakaolu Bisküvi,100 g,100,438,7.4,70,13
premium-uno,premium uno,100 g,100,223,11.9,37.9,1.4
et-browni-gold-eti,Et browni gold eti,100 g,100,461,6.4,51,28
sweet-plus,Бисквити Есенни листа Sweet plus,100 g,100,480,6.2,72,18
kirmizi-meyveli-tam-bugday-ve-pirinc-gevregi-kel,Kırmızı Meyveli Tam Buğday Ve Pirinç Gevreği Kellogg’s,100 g,100,380,7.5,82.5,1.3
bar-cake-alpella,Bar cake Alpella,100 g,100,432,5.4,53.6,21.6
tazej,Tazej,100 g,100,44,0,11,0
chokella-nestle,Chokella Nestlé,100 g,100,423,7.3,67,13
coca-cream-toren,Coca cream Toren,100 g,100,488,5.8,62.6,26
altinbasak-light-ulker,Altınbaşak Light Ülker,100 g,100,409,10,64,11
dattes-layanna,Dattes Layanna,100 g,100,282,2.5,75,0.3
eti-canga,eti canga,100 g,100,508,12,53,29
kek-ulker,kek ülker,100 g,100,442,4.1,56,22
kellogs-granola-klasik-340,Kellogs granola klasik 340,100 g,100,484,7.2,62,22
peanut-butter-polmak-gold,Peanut butter Polmak Gold,100 g,100,580,22,30.6,42.8
noodle-indomie,Noodle indomie,100 g,100,467,10,60,21
4-x-4-nougat-bar-with-caramel-and-peanut-torku,4 x 4 Nougat Bar with Caramel and Peanut Torku,100 g,100,457,4.2,71.4,17
lifalif-musli-kuru-meyveli-ve-findikli-eti,Lifalif Müsli Kuru Meyveli ve Fındıklı Eti,100 g,100,369,11,58,8.5
ulker-probis-sandwich-biscuits-10-pack-280g,Ulker Probis Sandwich Biscuits 10 Pack 280G,100 g,100,492,15.4,51.7,23.9
schogetten-ciocolata-cu-lapte-cu-bucatele-de-bis,Schogetten Ciocolată cu lapte cu bucățele de biscuiți cu ovă,100 g,100,556,5.5,56,34
balli-granola-kelly-s-fitness-club,Ballı Granola Kelly:s Fitness Club,100 g,100,466,10.9,59.4,19.1
yer-fistikli-bar-tadim,Yer Fıstıklı Bar tadım,100 g,100,529,11.8,53.8,29.6
eker-ayran,Eker Ayran,100 g,100,155,2,2.1,2.3
yagli-ayran-200-ml,Yağlı Ayran 200 ml,100 g,100,30,2,2.1,1.5
kefir-cilek-icim,KEFIR CILEK ICIM,100 g,100,61,2.7,9.2,1.5
loading-nestle,Loading… Nestle,100 g,100,383,7,75,4
saklikoy-mcvities,Sakliköy McVities,100 g,100,493,6.6,59,25
nescafe-express-250-milim-karamel,Nescafe express 250 milim karamel,100 g,100,164,9,63,1
luppo-choco,Luppo choco,100 g,100,157,2,20,8
milka-oreo-choco,Milka oreo choco,100 g,100,554,6,51,35
protein-bar-cikolata-coconut-fellas,Protein Bar Çikolata Coconut Fellas,100 g,100,353,33.3,37.8,6
orage-juice-cappy,Orage juice Cappy,100 g,100,43,0.7,8.9,0
ulker-ekstra-bitter-cikolatali-gofret,Ülker Ekstra Bitter Çikolatalı Gofret,100 g,100,467,6.7,51.1,24.4
fit-yasam-hindi-fume-eti-polonez,Fit Yaşam Hindi Füme Eti Polonez,100 g,100,83,17,1,1
cheerios-nestle,Cheerios Nestlé,100 g,100,376,8.4,75,2.9
